Period,AE_Attend_Type1,AE_Attend_Type2,AE_Attend_Type3,AE_Total_Attend,AE_Admission_Type1 ,AE_Admission_Type2,AE_Admission_Type3,AE_Admission_Total,Other_Emergency_Admissions,Total Emergency Admissions,4to12hrs_Admission,More12hrAdmission
Feb-15," 1,072,452 "," 48,157 "," 534,238 "," 1,654,846 "," 306,651 "," 1,287 "," 2,915 "," 310,853 "," 113,782 "," 424,635 "," 33,137 ", 184 
Mar-15," 1,251,325 "," 56,383 "," 635,259 "," 1,942,967 "," 340,682 "," 1,603 "," 4,359 "," 346,645 "," 128,296 "," 474,941 "," 30,768 ", 54 
Apr-15," 1,206,631 "," 52,366 "," 614,171 "," 1,873,168 "," 326,807 "," 1,434 "," 4,126 "," 332,367 "," 117,887 "," 450,253 "," 27,996 ", 58 
May-15," 1,254,445 "," 54,809 "," 628,214 "," 1,937,469 "," 339,572 "," 1,485 "," 4,315 "," 345,372 "," 123,043 "," 468,416 "," 23,524 ", 46 
Jun-15," 1,249,213 "," 53,398 "," 608,598 "," 1,911,209 "," 328,757 "," 1,139 "," 4,085 "," 333,981 "," 124,809 "," 458,790 "," 19,065 ", 25 
Jul-15," 1,271,523 "," 53,417 "," 627,955 "," 1,952,895 "," 338,445 "," 1,393 "," 4,203 "," 344,041 "," 129,873 "," 473,914 "," 17,275 ", 22 
Aug-15," 1,215,826 "," 49,458 "," 599,855 "," 1,865,139 "," 331,841 "," 1,225 "," 4,063 "," 337,129 "," 118,303 "," 455,432 "," 20,030 ", 28 
Sep-15," 1,221,594 "," 50,868 "," 587,517 "," 1,859,979 "," 332,984 "," 1,250 "," 3,847 "," 338,081 "," 126,114 "," 464,195 "," 25,883 ", 23 
Oct-15," 1,261,395 "," 50,275 "," 611,438 "," 1,923,108 "," 345,833 "," 1,041 "," 4,308 "," 351,182 "," 128,805 "," 479,987 "," 31,582 ", 58 
Nov-15," 1,236,294 "," 48,306 "," 589,635 "," 1,874,235 "," 340,241 "," 1,037 "," 3,630 "," 344,908 "," 130,656 "," 475,564 "," 34,170 ", 29 
Dec-15," 1,232,965 "," 46,148 "," 588,539 "," 1,867,652 "," 353,112 "," 1,098 "," 3,921 "," 358,131 "," 129,667 "," 487,798 "," 32,939 ", 29 
Jan-16," 1,250,005 "," 47,208 "," 609,707 "," 1,906,920 "," 353,778 "," 1,114 "," 4,076 "," 358,968 "," 125,865 "," 484,833 "," 51,571 ", 158 
Feb-16," 1,218,372 "," 48,387 "," 604,017 "," 1,870,776 "," 333,519 "," 1,047 "," 3,784 "," 338,350 "," 124,514 "," 462,864 "," 50,066 ", 188 
Mar-16," 1,350,373 "," 49,906 "," 687,274 "," 2,087,553 "," 357,724 "," 1,125 "," 4,466 "," 363,315 "," 130,761 "," 494,076 "," 53,640 ", 349 
Apr-16," 1,214,057 "," 50,359 "," 603,365 "," 1,867,781 "," 333,458 "," 1,079 "," 3,676 "," 338,213 "," 121,996 "," 460,209 "," 38,632 ", 196 
May-16," 1,353,206 "," 52,180 "," 664,954 "," 2,070,340 "," 359,307 "," 1,108 "," 3,965 "," 364,380 "," 128,811 "," 493,191 "," 38,203 ", 107 
Jun-16," 1,282,499 "," 52,180 "," 624,123 "," 1,958,802 "," 346,030 "," 1,087 "," 3,843 "," 350,960 "," 129,250 "," 480,210 "," 35,300 ", 84 
Jul-16," 1,353,477 "," 52,961 "," 672,596 "," 2,079,034 "," 356,986 "," 1,100 "," 3,693 "," 361,779 "," 128,442 "," 490,221 "," 37,466 ", 113 
Aug-16," 1,254,439 "," 52,404 "," 626,058 "," 1,932,901 "," 342,617 "," 1,186 "," 3,882 "," 347,685 "," 122,869 "," 470,554 "," 34,253 ", 57 
Sep-16," 1,277,578 "," 52,521 "," 622,365 "," 1,952,464 "," 345,085 "," 1,226 "," 3,841 "," 350,152 "," 125,656 "," 475,808 "," 35,694 ", 86 
Oct-16," 1,317,571 "," 51,020 "," 633,225 "," 2,001,816 "," 357,874 "," 1,160 "," 4,275 "," 363,309 "," 129,674 "," 492,983 "," 48,816 ", 252 
Nov-16," 1,258,205 "," 49,979 "," 599,687 "," 1,907,871 "," 351,285 "," 1,166 "," 4,095 "," 356,546 "," 132,780 "," 489,326 "," 52,988 ", 457 
Dec-16," 1,277,133 "," 45,569 "," 621,865 "," 1,944,567 "," 366,086 "," 1,078 "," 3,384 "," 370,548 "," 127,367 "," 497,915 "," 61,729 ", 553 
Jan-17," 1,237,177 "," 48,039 "," 610,056 "," 1,895,272 "," 358,045 "," 1,186 "," 3,709 "," 362,940 "," 129,333 "," 492,273 "," 79,551 ", 989 
Feb-17," 1,127,909 "," 45,733 "," 561,977 "," 1,735,619 "," 322,294 "," 1,029 "," 3,338 "," 326,661 "," 121,027 "," 447,688 "," 54,491 ", 338 
Mar-17," 1,309,507 "," 53,355 "," 652,972 "," 2,015,834 "," 365,117 "," 1,165 "," 3,821 "," 370,103 "," 139,702 "," 509,805 "," 42,970 ", 270 
Apr-17," 1,253,743 "," 47,550 "," 648,469 "," 1,949,762 "," 347,805 "," 1,124 "," 3,636 "," 352,565 "," 118,763 "," 471,328 "," 33,923 ", 143 
May-17," 1,347,297 "," 51,037 "," 668,455 "," 2,066,789 "," 369,644 "," 1,186 "," 3,640 "," 374,470 "," 131,373 "," 505,843 "," 40,296 ", 115 
Jun-17," 1,296,877 "," 50,612 "," 646,567 "," 1,994,056 "," 356,052 "," 1,243 "," 3,898 "," 361,193 "," 130,013 "," 491,206 "," 34,476 ", 55 
Jul-17," 1,348,648 "," 50,369 "," 674,927 "," 2,073,944 "," 365,685 "," 1,164 "," 3,658 "," 370,507 "," 128,752 "," 499,259 "," 37,258 ", 74 
